annette_bening,american_beauty,carolyn_burnham,Annette,Bening
thora_birch,american_beauty,jane_burnham,Thora,Birch
mena_suvari,american_beauty,angela_hayes,Mena,Suvari
allison_janney,american_beauty,barbara_fitts,Allison,Janney
ara_celi,american_beauty,sale_house_woman_1,Ara,Celi
sue_casey,american_beauty,sale_house_woman_2,Sue,Casey
brenda_wehle,american_beauty,sale_house_woman_4,Brenda,Wehle
lisa_cloud,american_beauty,sale_house_woman_5,Lisa,Cloud
alison_faulk,american_beauty,spartanette_1,Alison,Faulk
krista_goodsitt,american_beauty,spartanette_2,Krista,Goodsitt
lily_houtkin,american_beauty,spartanette_3,Lily,Houtkin
carolina_lancaster,american_beauty,spartanette_4,Carolina,Lancaster
romana_leah,american_beauty,spartanette_5,Romana,Leah
chekeshka_van_putten,american_beauty,spartanette_6,Chekeshka,Putten
emily_zachary,american_beauty,spartanette_7,Emily,Zachary
nancy_anderson,american_beauty,spartanette_8,Nancy,Anderson
reshma_gajjar,american_beauty,spartanette_9,Reshma,Gajjar
stephanie_rizzo,american_beauty,spartanette_10,Stephanie,Rizzo
heather_joy_sher,american_beauty,playground_girl_1,Heather,Sher
chelsea_hertford,american_beauty,playground_girl_2,Chelsea,Hertford
amber_smith,american_beauty,christy_kane,Amber,Smith
marissa_jaret_winokur,american_beauty,mr_smiley_s_counter_girl,Marissa,Winokur
erin_cathryn_strubbe,american_beauty,young_jane_burnham,Erin,Strubbe
elaine_corral_kendall,american_beauty,newscaster,Elaine,Kendall
sally_kirkland,anna,anna,Sally,Kirkland
paulina_porizkova,anna,krystyna,Paulina,Porizkova
julianne_gilliam,anna,woman_author,Julianne,Gilliam
deirdre_o_connell,anna,assistant_2,Deirdre,O'Connell
ruth_maleczech,anna,woman_1_woman_named_gloria,Ruth,Maleczech
holly_villaire,anna,woman_2_woman_with_bird,Holly,Villaire
shirl_bernheim,anna,woman_3_woman_in_white_veil,Shirl,Bernheim
ren_e_coleman,anna,woman_4_woman_in_bonnet,Ren,Coleman
gabriela_farrar,anna,woman_5_woman_in_black,Gabriela,Farrar
jordana_levine,anna,woman_6_woman_in_turban,Jordana,Levine
rosalie_traina,anna,woman_7_woman_in_gold,Rosalie,Traina
maggie_wagner,anna,actress_d,Maggie,Wagner
mimi_weddell,anna,agent_s_secretary,Mimi,Weddell
lola_pashalinski,anna,producer,Lola,Pashalinski
geena_goodwin,anna,daniel_s_mother,Geena,Goodwin
caroline_aaron,anna,interviewer,Caroline,Aaron
sofia_coppola,anna,noodle,Sofia,Coppola
nina_port,anna,dancing_dishwasher,Nina,Port
sean_young,blade_runner,rachael,Sean,Young
daryl_hannah,blade_runner,pris,Daryl,Hannah
joanna_cassidy,blade_runner,zhora,Joanna,Cassidy
hy_pyke,blade_runner,taffey_lewis,Hy,Pyke
judy_davis,barton_fink,audrey_taylor,Judy,Davis
meagen_fay,barton_fink,poppy_carnahan,Meagen,Fay
gayle_vance,barton_fink,geisler_s_secretary,Gayle,Vance
jana_marie_hupp,barton_fink,uso_girl,Jana,Hupp
isabelle_townsend,barton_fink,beauty,Isabelle,Townsend
julianne_moore,the_big_lebowski,maude_lebowski,Julianne,Moore
tara_reid,the_big_lebowski,bunny_lebowski,Tara,Reid
lu_elrod,the_big_lebowski,coffee_shop_waitress,Lu,Elrod
irene_olga_l_pez,the_big_lebowski,pilar_sellers_housekeeper,Irene,Pez
