kevin_spacey,american_beauty,lester_burnham,Kevin,Spacey,kevin_spaceyamerican_beautylester_burnham
wes_bentley,american_beauty,ricky_fitts,Wes,Bentley,wes_bentleyamerican_beautyricky_fitts
chris_cooper,american_beauty,col_frank_fitts_usmc,Chris,Cooper,chris_cooperamerican_beautycol_frank_fitts_usmc
peter_gallagher,american_beauty,buddy_kane,Peter,Gallagher,peter_gallagheramerican_beautybuddy_kane
scott_bakula,american_beauty,jim_olmeyer,Scott,Bakula,scott_bakulaamerican_beautyjim_olmeyer
sam_robards,american_beauty,jim_berkley,Sam,Robards,sam_robardsamerican_beautyjim_berkley
barry_del_sherman,american_beauty,brad_dupree,Barry,Sherman,barry_del_shermanamerican_beautybrad_dupree
john_cho,american_beauty,sale_house_man_1,John,Cho,john_choamerican_beautysale_house_man_1
fort_atkinson,american_beauty,sale_house_man_2,Fort,Atkinson,fort_atkinsonamerican_beautysale_house_man_2
kent_faulcon,american_beauty,sale_house_man_3,Kent,Faulcon,kent_faulconamerican_beautysale_house_man_3
joel_mccrary,american_beauty,catering_boss,Joel,McCrary,joel_mccraryamerican_beautycatering_boss
dennis_anderson,american_beauty,mr_smiley_s_manager,Dennis,Anderson,dennis_andersonamerican_beautymr_smiley_s_manager
matthew_kimbrough,american_beauty,firing_range_attendant,Matthew,Kimbrough,matthew_kimbroughamerican_beautyfiring_range_attendant
robert_fields,anna,daniel,Robert,Fields,robert_fieldsannadaniel
gibby_brand,anna,director_1,Gibby,Brand,gibby_brandannadirector_1
john_robert_tillotson,anna,director_2,John,Tillotson,john_robert_tillotsonannadirector_2
joe_aufiery,anna,stage_manager,Joe,Aufiery,joe_aufieryannastage_manager
lance_davis,anna,assistant_1,Lance,Davis,lance_davisannaassistant_1
charles_randall,anna,agent,Charles,Randall,charles_randallannaagent
larry_pine,anna,baskin,Larry,Pine,larry_pineannabaskin
stefan_schnabel,anna,professor,Stefan,Schnabel,stefan_schnabelannaprofessor
steven_gilborn,anna,tonda,Steven,Gilborn,steven_gilbornannatonda
rand_stone,anna,george,Rand,Stone,rand_stoneannageorge
david_r_ellis,anna,daniel_s_father,David,Ellis,david_r_ellisannadaniel_s_father
brian_kohn,anna,jonathan,Brian,Kohn,brian_kohnannajonathan
vasek_simek,anna,czech_demonstrator_1,Vasek,Simek,vasek_simekannaczech_demonstrator_1
paul_leski,anna,czech_demonstrator_2,Paul,Leski,paul_leskiannaczech_demonstrator_2
larry_attile,anna,czech_demonstrator_3,Larry,Attile,larry_attileannaczech_demonstrator_3
theo_mayes,anna,dancing_dishwasher,Theo,Mayes,theo_mayesannadancing_dishwasher
harrison_ford,blade_runner,rick_deckard,Harrison,Ford,harrison_fordblade_runnerrick_deckard
rutger_hauer,blade_runner,roy_batty,Rutger,Hauer,rutger_hauerblade_runnerroy_batty
edward_james_olmos,blade_runner,gaff,Edward,Olmos,edward_james_olmosblade_runnergaff
m_emmet_walsh,blade_runner,bryant,M.,Walsh,m_emmet_walshblade_runnerbryant
william_sanderson,blade_runner,j_f_sebastian,William,Sanderson,william_sandersonblade_runnerj_f_sebastian
brion_james,blade_runner,leon_kowalski,Brion,James,brion_jamesblade_runnerleon_kowalski
joe_turkel,blade_runner,dr_eldon_tyrell,Joe,Turkel,joe_turkelblade_runnerdr_eldon_tyrell
james_hong,blade_runner,hannibal_chew,James,Hong,james_hongblade_runnerhannibal_chew
morgan_paull,blade_runner,holden,Morgan,Paull,morgan_paullblade_runnerholden
kevin_thompson,blade_runner,bear,Kevin,Thompson,kevin_thompsonblade_runnerbear
john_edward_allen,blade_runner,kaiser,John,Allen,john_edward_allenblade_runnerkaiser
john_turturro,barton_fink,barton_fink,John,Turturro,john_turturrobarton_finkbarton_fink
john_goodman,barton_fink,charlie_meadows,John,Goodman,john_goodmanbarton_finkcharlie_meadows
michael_lerner,barton_fink,jack_lipnick,Michael,Lerner,michael_lernerbarton_finkjack_lipnick
john_mahoney,barton_fink,w_p_mayhew,John,Mahoney,john_mahoneybarton_finkw_p_mayhew
tony_shalhoub,barton_fink,ben_geisler,Tony,Shalhoub,tony_shalhoubbarton_finkben_geisler
jon_polito,barton_fink,lou_breeze,Jon,Polito,jon_politobarton_finklou_breeze
steve_buscemi,barton_fink,chet,Steve,Buscemi,steve_buscemibarton_finkchet
david_warrilow,barton_fink,garland_stanford,David,Warrilow,david_warrilowbarton_finkgarland_stanford
richard_portnow,barton_fink,detective_mastrionotti,Richard,Portnow,richard_portnowbarton_finkdetective_mastrionotti
christopher_murney,barton_fink,detective_deutsch,Christopher,Murney,christopher_murneybarton_finkdetective_deutsch
i_m_hobson,barton_fink,derek,I,Hobson,i_m_hobsonbarton_finkderek
lance_davis,barton_fink,richard_st_claire,Lance,Davis,lance_davisbarton_finkrichard_st_claire
harry_bugin,barton_fink,pete,Harry,Bugin,harry_buginbarton_finkpete
anthony_gordon,barton_fink,maitre_d,Anthony,Gordon,anthony_gordonbarton_finkmaitre_d
jack_denbo,barton_fink,stagehand,Jack,Denbo,jack_denbobarton_finkstagehand
max_grod_nchik,barton_fink,clapper_boy,Max,Nchik,max_grod_nchikbarton_finkclapper_boy
robert_beecher,barton_fink,referee,Robert,Beecher,robert_beecherbarton_finkreferee
darwyn_swalve,barton_fink,wrestler,Darwyn,Swalve,darwyn_swalvebarton_finkwrestler
johnny_judkins,barton_fink,sailor,Johnny,Judkins,johnny_judkinsbarton_finksailor
william_preston_robertson,barton_fink,voice,William,Robertson,william_preston_robertsonbarton_finkvoice
jeff_bridges,the_big_lebowski,jeffrey_lebowski__the_dude,Jeff,Bridges,jeff_bridgesthe_big_lebowskijeffrey_lebowski__the_dude
john_goodman,the_big_lebowski,walter_sobchak,John,Goodman,john_goodmanthe_big_lebowskiwalter_sobchak
steve_buscemi,the_big_lebowski,theodore_donald_donny_kerabatsos,Steve,Buscemi,steve_buscemithe_big_lebowskitheodore_donald_donny_kerabatsos
david_huddleston,the_big_lebowski,jeffrey_lebowski__the_big_lebowski,David,Huddleston,david_huddlestonthe_big_lebowskijeffrey_lebowski__the_big_lebowski
philip_seymour_hoffman,the_big_lebowski,brandt,Philip,Hoffman,philip_seymour_hoffmanthe_big_lebowskibrandt
philip_moon,the_big_lebowski,woo_treehorn_thug,Philip,Moon,philip_moonthe_big_lebowskiwoo_treehorn_thug
mark_pellegrino,the_big_lebowski,blond_treehorn_thug,Mark,Pellegrino,mark_pellegrinothe_big_lebowskiblond_treehorn_thug
peter_stormare,the_big_lebowski,uli_kunkel_nihilist_1__karl_hungus,Peter,Stormare,peter_stormarethe_big_lebowskiuli_kunkel_nihilist_1__karl_hungus
flea,the_big_lebowski,nihilist_2,Flea,,fleathe_big_lebowskinihilist_2
torsten_voges,the_big_lebowski,nihilist_3,Torsten,Voges,torsten_vogesthe_big_lebowskinihilist_3
jimmie_dale_gilmore,the_big_lebowski,smokey,Jimmie,Gilmore,jimmie_dale_gilmorethe_big_lebowskismokey
jack_kehler,the_big_lebowski,marty,Jack,Kehler,jack_kehlerthe_big_lebowskimarty
john_turturro,the_big_lebowski,jesus_quintana,John,Turturro,john_turturrothe_big_lebowskijesus_quintana
james_g_hoosier,the_big_lebowski,liam_o_brien,James,Hoosier,james_g_hoosierthe_big_lebowskiliam_o_brien
carlos_leon,the_big_lebowski,maude_s_thug,Carlos,León,carlos_leonthe_big_lebowskimaude_s_thug
terrence_burton,the_big_lebowski,maude_s_thug,Terrence,Burton,terrence_burtonthe_big_lebowskimaude_s_thug
richard_gant,the_big_lebowski,older_cop,Richard,Gant,richard_gantthe_big_lebowskiolder_cop
christian_clemenson,the_big_lebowski,younger_cop,Christian,Clemenson,christian_clemensonthe_big_lebowskiyounger_cop
dom_irrera,the_big_lebowski,tony_the_chauffeur,Dom,Irrera,dom_irrerathe_big_lebowskitony_the_chauffeur
g_rard_l_heureux,the_big_lebowski,lebowski_s_chauffeur,G,Heureux,g_rard_l_heureuxthe_big_lebowskilebowski_s_chauffeur
david_thewlis,the_big_lebowski,knox_harrington,David,Thewlis,david_thewlisthe_big_lebowskiknox_harrington
mike_gomez,the_big_lebowski,auto_circus_cop,Mike,Gomez,mike_gomezthe_big_lebowskiauto_circus_cop
peter_siragusa,the_big_lebowski,gary_the_bartender,Peter,Siragusa,peter_siragusathe_big_lebowskigary_the_bartender
sam_elliott,the_big_lebowski,the_stranger,Sam,Elliott,sam_elliottthe_big_lebowskithe_stranger
marshall_manesh,the_big_lebowski,doctor,Marshall,Manesh,marshall_maneshthe_big_lebowskidoctor
harry_bugin,the_big_lebowski,arthur_digby_sellers,Harry,Bugin,harry_buginthe_big_lebowskiarthur_digby_sellers
jesse_flanagan,the_big_lebowski,little_larry_sellers,Jesse,Flanagan,jesse_flanaganthe_big_lebowskilittle_larry_sellers
luis_colina,the_big_lebowski,corvette_owner,Luis,Colina,luis_colinathe_big_lebowskicorvette_owner
ben_gazzara,the_big_lebowski,jackie_treehorn,Ben,Gazzara,ben_gazzarathe_big_lebowskijackie_treehorn
leon_russom,the_big_lebowski,malibu_police_chief,Leon,Russom,leon_russomthe_big_lebowskimalibu_police_chief
ajgie_kirkland,the_big_lebowski,cab_driver,Ajgie,Kirkland,ajgie_kirklandthe_big_lebowskicab_driver
jon_polito,the_big_lebowski,da_fino,Jon,Polito,jon_politothe_big_lebowskida_fino
jerry_haleva,the_big_lebowski,saddam_hussein,Jerry,Haleva,jerry_halevathe_big_lebowskisaddam_hussein
warren_keith,the_big_lebowski,funeral_director,Warren,Keith,warren_keiththe_big_lebowskifuneral_director
paris_themmen,the_big_lebowski,,Paris,Themmen,paris_themmenthe_big_lebowski
john_getz,blood_simple,ray,John,Getz,john_getzblood_simpleray
dan_hedaya,blood_simple,julian_marty,Dan,Hedaya,dan_hedayablood_simplejulian_marty
m_emmet_walsh,blood_simple,loren_visser_private_detective,M.,Walsh,m_emmet_walshblood_simpleloren_visser_private_detective
samm_art_williams,blood_simple,meurice,Samm,Williams,samm_art_williamsblood_simplemeurice
van_brooks,blood_simple,man_from_lubbock,Van,Brooks,van_brooksblood_simpleman_from_lubbock
se_or_marco,blood_simple,mr_garcia,Se,Marco,se_or_marcoblood_simplemr_garcia
william_creamer,blood_simple,old_cracker,William,Creamer,william_creamerblood_simpleold_cracker
loren_bivens,blood_simple,strip_bar_exhorter,Loren,Bivens,loren_bivensblood_simplestrip_bar_exhorter
bob_mcadams,blood_simple,strip_bar_exhorter,Bob,McAdams,bob_mcadamsblood_simplestrip_bar_exhorter
william_preston_robertson,blood_simple,radio_evangelist,William,Robertson,william_preston_robertsonblood_simpleradio_evangelist
barry_sonnenfeld,blood_simple,marty_s_vomiting,Barry,Sonnenfeld,barry_sonnenfeldblood_simplemarty_s_vomiting
richard_gere,the_cotton_club,michael_dixie_dwyer,Richard,Gere,richard_gerethe_cotton_clubmichael_dixie_dwyer
gregory_hines,the_cotton_club,sandman_williams,Gregory,Hines,gregory_hinesthe_cotton_clubsandman_williams
bob_hoskins,the_cotton_club,owney_madden,Bob,Hoskins,bob_hoskinsthe_cotton_clubowney_madden
james_remar,the_cotton_club,dutch_schultz,James,Remar,james_remarthe_cotton_clubdutch_schultz
nicolas_cage,the_cotton_club,vincent_dwyer,Nicolas,Cage,nicolas_cagethe_cotton_clubvincent_dwyer
allen_garfield,the_cotton_club,abbadabba_berman,Allen,Garfield,allen_garfieldthe_cotton_clubabbadabba_berman
fred_gwynne,the_cotton_club,frenchy_demange,Fred,Gwynne,fred_gwynnethe_cotton_clubfrenchy_demange
maurice_hines,the_cotton_club,clay_williams,Maurice,Hines,maurice_hinesthe_cotton_clubclay_williams
julian_beck,the_cotton_club,sol_weinstein,Julian,Beck,julian_beckthe_cotton_clubsol_weinstein
laurence_fishburne,the_cotton_club,bumpy_rhodes,Laurence,Fishburne,laurence_fishburnethe_cotton_clubbumpy_rhodes
john_p_ryan,the_cotton_club,joe_flynn,John,Ryan,john_p_ryanthe_cotton_clubjoe_flynn
tom_waits,the_cotton_club,irving_stark,Tom,Waits,tom_waitsthe_cotton_clubirving_stark
ron_karabatsos,the_cotton_club,mike_best,Ron,Karabatsos,ron_karabatsosthe_cotton_clubmike_best
glenn_withrow,the_cotton_club,ed_popke,Glenn,Withrow,glenn_withrowthe_cotton_clubed_popke
charles_honi_coles,the_cotton_club,suger_coates,Charles,Coles,charles_honi_colesthe_cotton_clubsuger_coates
larry_marshall,the_cotton_club,cab_calloway_minnie_the_moocher__lady_with_the_fan_and_jitterbug_sung_by,Larry,Marshall,larry_marshallthe_cotton_clubcab_calloway_minnie_the_moocher__lady_with_the_fan_and_jitterbug_sung_by
joe_dallesandro,the_cotton_club,charles_lucky_luciano,Joe,Dallesandro,joe_dallesandrothe_cotton_clubcharles_lucky_luciano
ed_o_ross,the_cotton_club,monk,Ed,O'Ross,ed_o_rossthe_cotton_clubmonk
frederick_downs_jr,the_cotton_club,sullen_man,Frederick,Jr.,frederick_downs_jrthe_cotton_clubsullen_man
tucker_smallwood,the_cotton_club,kid_griffin,Tucker,Smallwood,tucker_smallwoodthe_cotton_clubkid_griffin
woody_strode,the_cotton_club,holmes,Woody,Strode,woody_strodethe_cotton_clubholmes
bill_graham,the_cotton_club,j_w,Bill,Graham,bill_grahamthe_cotton_clubj_w
dayton_allen,the_cotton_club,solly,Dayton,Allen,dayton_allenthe_cotton_clubsolly
kim_chan,the_cotton_club,ling,Kim,Chan,kim_chanthe_cotton_clubling
ed_rowan,the_cotton_club,messiah,Ed,Rowan,ed_rowanthe_cotton_clubmessiah
leonard_termo,the_cotton_club,danny,Leonard,Termo,leonard_termothe_cotton_clubdanny
george_cantero,the_cotton_club,vince_hood,George,Cantero,george_canterothe_cotton_clubvince_hood
brian_tarantina,the_cotton_club,vince_hood,Brian,Tarantina,brian_tarantinathe_cotton_clubvince_hood
bruce_macvittie,the_cotton_club,vince_hood,Bruce,MacVittie,bruce_macvittiethe_cotton_clubvince_hood
james_russo,the_cotton_club,vince_hood,James,Russo,james_russothe_cotton_clubvince_hood
giancarlo_esposito,the_cotton_club,bumpy_hood,Giancarlo,Esposito,giancarlo_espositothe_cotton_clubbumpy_hood
bruce_hubbard,the_cotton_club,bumpy_hood,Bruce,Hubbard,bruce_hubbardthe_cotton_clubbumpy_hood
rony_clanton,the_cotton_club,caspar_holstein,Rony,Clanton,rony_clantonthe_cotton_clubcaspar_holstein
damien_leake,the_cotton_club,bub_jewett,Damien,Leake,damien_leakethe_cotton_clubbub_jewett
bill_cobbs,the_cotton_club,big_joe_ison,Bill,Cobbs,bill_cobbsthe_cotton_clubbig_joe_ison
joe_lynn,the_cotton_club,marcial_flores,Joe,Lynn,joe_lynnthe_cotton_clubmarcial_flores
oscar_barnes,the_cotton_club,spanish_henry,Oscar,Barnes,oscar_barnesthe_cotton_clubspanish_henry
ed_zang,the_cotton_club,hotel_clerk,Ed,Zang,ed_zangthe_cotton_clubhotel_clerk
zane_mark,the_cotton_club,duke_ellington,Zane,Mark,zane_markthe_cotton_clubduke_ellington
tom_signorelli,the_cotton_club,butch_murdock,Tom,Signorelli,tom_signorellithe_cotton_clubbutch_murdock
paul_herman,the_cotton_club,policeman_1,Paul,Herman,paul_hermanthe_cotton_clubpoliceman_1
randle_mell,the_cotton_club,policeman_2,Randle,Mell,randle_mellthe_cotton_clubpoliceman_2
steve_vignari,the_cotton_club,trigger_mike_coppola,Steve,Vignari,steve_vignarithe_cotton_clubtrigger_mike_coppola
gregory_rozakis,the_cotton_club,charlie_chaplin,Gregory,Rozakis,gregory_rozakisthe_cotton_clubcharlie_chaplin
marc_coppola,the_cotton_club,ted_husing,Marc,Coppola,marc_coppolathe_cotton_clubted_husing
robert_earl_jones,the_cotton_club,stage_door_joe,Robert,Jones,robert_earl_jonesthe_cotton_clubstage_door_joe
